End of video
         744240 function calls (741544 primitive calls) in 53.911 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
       31    0.000    0.000    0.000    0.000 enum.py:828(__and__)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:3130(around)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
       58    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
      269    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       33    0.000    0.000    0.005    0.000 sre_compile.py:598(_code)
      166    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
       91    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       67    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       33    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
      190    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       54    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
        1    0.000    0.000    0.013    0.013 npyio.py:1(<module>)
       64    0.000    0.000    0.000    0.000 enum.py:557(__new__)
       64    0.000    0.000    0.000    0.000 enum.py:278(__call__)
        2    0.000    0.000    0.000    0.000 core.py:2938(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 threading.py:494(Event)
        5    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
       27    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(around)
      158    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       44    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      374    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       46    0.000    0.000    0.000    0.000 enum.py:368(__setattr__)
      141    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:774(create_module)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 argparse.py:1619(ArgumentParser)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      430    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
    21/16    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
