End of video
         707103 function calls (704409 primitive calls) in 95.137 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      420    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      196    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
        1    0.000    0.000    0.000    0.000 {built-in method sys.getwindowsversion}
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:784(_ufunc_doc_signature_formatter)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      304    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       33    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:120(_write_atomic)
       67    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.004    0.004 defchararray.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2388(extend_all)
       67    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      298    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        5    0.000    0.000    0.000    0.000 enum.py:171(<setcomp>)
      222    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      272    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      473    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      540    0.000    0.000    0.000    0.000 multiarray.py:312(where)
      216    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       18    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x0C034148}
       60    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(sum)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
       69    0.000    0.000    0.000    0.000 enum.py:64(__setitem__)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
       31    0.000    0.000    0.000    0.000 enum.py:828(__and__)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       67    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       18    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       54    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      267    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.021    0.021 multiarray.py:1(<module>)
       66    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
        1    0.000    0.000    0.013    0.013 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:115(_add_aliases)
      110    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1508(<setcomp>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:43(<lambda>)
       20    0.000    0.000    0.034    0.002 <frozen importlib._bootstrap_external>:1099(create_module)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
    43/30    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       54    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(norm)
       58    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:3130(around)
      372    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.002    0.002 nanfunctions.py:1(<module>)
       91    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      222    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      165    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
       54    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6738(add_newdoc_for_scalar_type)
        4    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      107    0.000    0.000    0.000    0.000 re.py:186(match)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:494(Event)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
       27    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
       33    0.000    0.000    0.004    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
       33    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:370(<dictcomp>)
       44    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      210    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1619(ArgumentParser)
       46    0.000    0.000    0.000    0.000 enum.py:368(__setattr__)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      158    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.017    0.017 index_tricks.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1482(_guarded_repr_or_str)
       26    0.000    0.000    0.001    0.000 core.py:6665(getdoc)
       64    0.000    0.000    0.000    0.000 enum.py:278(__call__)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
    26/12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      430    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:246(_set_array_types)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
      100    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       60    0.000    0.000    0.000    0.000 fromnumeric.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
      190    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 sre_parse.py:11(<module>)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
       64    0.000    0.000    0.000    0.000 enum.py:557(__new__)
       17    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       74    0.000    0.000    0.000    0.000 sre_constants.py:57(__new__)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
       54    0.000    0.000    0.000    0.000 _asarray.py:16(asarray)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.000    0.000 posixpath.py:1(<module>)
      362    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       62    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
       27    0.000    0.000    0.000    0.000 fromnumeric.py:55(_wrapfunc)
       26    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       33    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       31    0.000    0.000    0.000    0.000 types.py:171(__get__)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       69    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       19    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
       12    0.000    0.000    0.000    0.000 Robot.py:89(moveMeat)
       12    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
    20/15    0.000    0.000    0.014    0.001 <frozen importlib._bootstrap_external>:1107(exec_module)
       67    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       64    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.003    0.003 financial.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
        2    0.000    0.000    0.000    0.000 glob.py:116(_iterdir)
       62    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       95    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       33    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.018    0.018 _pickle.py:1(<module>)
       99    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      280    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       54    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
        1    0.000    0.000    0.000    0.000 core.py:2717(MaskedArray)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      122    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
       15    0.000    0.000    0.000    0.000 arrayprint.py:477(wrapper)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:927(__init__)
       70    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 sre_compile.py:62(<dictcomp>)
       24    0.000    0.000    0.000    0.000 Point.py:75(copy)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
        3    0.000    0.000    0.000    0.000 functools.py:524(decorating_function)
